Dam_name,Region,Lat,Lon
เขื่อนภูมิพล,เหนือ,17.2425,98.9700333
เขื่อนสิริกิติ์,เหนือ,17.763889,100.5611443
เขื่อนแม่งัด,เหนือ,19.1591934,98.9972101
เขื่อนกิ่วลม,เหนือ,18.5235976,99.6223819
เขื่อนแม่กวง,เหนือ,18.9263853,99.1233188
เขื่อนกิ่วคอหมา,เหนือ,18.6650771,99.4959446
เขื่อนแควน้อย,เหนือ,17.1879505,100.4067148
เขื่อนแม่มอก,เหนือ,17.3236106,99.4009674
รวมภาคเหนือ,เหนือ,0,0
เขื่อนลำปาว,ตะวันออกเฉียงเหนือ,16.6026918,103.4393444
เขื่อนลำตะคอง,ตะวันออกเฉียงเหนือ,14.865,101.5580893
เขื่อนลำพระเพลิง,ตะวันออกเฉียงเหนือ,14.505278,101.7783673
เขื่อนน้ำอูน,ตะวันออกเฉียงเหนือ,17.2227501,103.6747392
เขื่อนอุบลรัตน์,ตะวันออกเฉียงเหนือ,16.775394,102.6161363
เขื่อนสิรินธร,ตะวันออกเฉียงเหนือ,15.206339,105.4269673
เขื่อนจุฬาภรณ์,ตะวันออกเฉียงเหนือ,16.5362037,101.6573794
เขื่อนห้วยหลวง,ตะวันออกเฉียงเหนือ,17.3437834,102.5511898
เขื่อนลำนางรอง,ตะวันออกเฉียงเหนือ,14.2987277,102.7551986
เขื่อนมูลบน,ตะวันออกเฉียงเหนือ,14.4694987,102.0788051
เขื่อนน้ำพุง,ตะวันออกเฉียงเหนือ,15.9351979,101.9038514
เขื่อนลำแซะ,ตะวันออกเฉียงเหนือ,14.3825272,102.2155859
รวมภาคตะวันออกเฉียงเหนือ,ตะวันออกเฉียงเหนือ,0,0
เขื่อนป่าสักฯ,กลาง,14.8616287,101.0637971
เขื่อนกระเสียว,กลาง,14.8386164,99.6659229
เขื่อนทับเสลา,กลาง,15.5409963,99.4368877
เขื่อนเจ้าพระยา,กลาง,15.158056,100.1778113
รวมภาคกลาง,กลาง,0,0
เขื่อนศรีนครินทร์,ตะวันตก,14.4049116,99.1258211
เขื่อนวชิราลงกรณ,ตะวันตก,14.799444,98.5947553
รวมภาคตะวันตก,ตะวันตก,0,0
เขื่อนบางพระ,ตะวันออก,13.2055779,100.9606983
เขื่อนหนองปลาไหล,ตะวันออก,12.9243019,101.1976193
เขื่อนคลองสียัด,ตะวันออก,12.923702,100.6721532
เขื่อนขุนด่านปราการชล,ตะวันออก,14.3140835,101.3191332
เขื่อนประแสร์,ตะวันออก,12.9777851,101.5551086
เขื่อนนฤบดินทรจินดา,ตะวันออก,14.0740349,102.0264319
รวมภาคตะวันออก,ตะวันออก,0,0
เขื่อนแก่งกระจาน,ใต้,12.8525282,99.1668615
เขื่อนปราณบุรี,ใต้,12.4208158,99.7864244
เขื่อนรัชชประภา,ใต้,8.9724778,98.803516
เขื่อนบางลาง,ใต้,6.1769469,101.2767857
รวมภาคใต้,ใต้,0,0
